t,x,y,z
0.567,2.84988,0,1.42284
0.568,2.85488,0,1.4222
0.569,2.85988,0,1.42155
0.57,2.86488,0,1.4209
0.571,2.86988,0,1.42023
0.572,2.87488,0,1.41956
0.573,2.87988,0,1.41887
0.574,2.88488,0,1.41818
0.575,2.88988,0,1.41747
0.576,2.89488,0,1.41676
0.577,2.89988,0,1.41603
0.578,2.90488,0,1.4153
0.579,2.90988,0,1.41455
0.58,2.91488,0,1.4138
0.581,2.91987,0,1.41303
0.582,2.92487,0,1.41226
0.583,2.92987,0,1.41148
0.584,2.93487,0,1.41068
0.585,2.93987,0,1.40988
0.586,2.94487,0,1.40906
0.587,2.94986,0,1.40824
0.588,2.95486,0,1.40741
0.589,2.95986,0,1.40657
0.59,2.96486,0,1.40571
0.591,2.96986,0,1.40485
0.592,2.97485,0,1.40398
0.593,2.97985,0,1.4031
0.594,2.98485,0,1.4022
0.595,2.98985,0,1.4013
0.596,2.99484,0,1.40039
0.597,2.99984,0,1.39947
0.598,3.00484,0,1.39854
0.599,3.00983,0,1.3976
0.6,3.01483,0,1.39664
0.601,3.01983,0,1.39568
0.602,3.02483,0,1.39471
0.603,3.02982,0,1.39373
0.604,3.03482,0,1.39274
0.605,3.03981,0,1.39174
0.606,3.04481,0,1.39073
0.607,3.04981,0,1.38971
0.608,3.0548,0,1.38868
0.609,3.0598,0,1.38764
0.61,3.06479,0,1.38659
0.611,3.06979,0,1.38553
0.612,3.07479,0,1.38447
0.613,3.07978,0,1.38339
0.614,3.08478,0,1.3823
0.615,3.08977,0,1.3812
0.616,3.09477,0,1.38009
0.617,3.09976,0,1.37897
0.618,3.10476,0,1.37784
0.619,3.10975,0,1.37671
0.62,3.11475,0,1.37556
0.621,3.11974,0,1.3744
0.622,3.12474,0,1.37323
0.623,3.12973,0,1.37206
0.624,3.13472,0,1.37087
0.625,3.13972,0,1.36967
0.626,3.14471,0,1.36847
0.627,3.14971,0,1.36725
0.628,3.1547,0,1.36602
0.629,3.15969,0,1.36479
0.63,3.16469,0,1.36354
0.631,3.16968,0,1.36228
0.632,3.17468,0,1.36102
0.633,3.17967,0,1.35974
0.634,3.18466,0,1.35846
0.635,3.18966,0,1.35716
0.636,3.19465,0,1.35586
0.637,3.19964,0,1.35454
0.638,3.20463,0,1.35322
0.639,3.20963,0,1.35188
0.64,3.21462,0,1.35054
0.641,3.21961,0,1.34918
0.642,3.2246,0,1.34782
0.643,3.2296,0,1.34645
0.644,3.23459,0,1.34506
0.645,3.23958,0,1.34367
0.646,3.24457,0,1.34227
0.647,3.24957,0,1.34085
0.648,3.25456,0,1.33943
0.649,3.25955,0,1.338
0.65,3.26454,0,1.33655
0.651,3.26953,0,1.3351
0.652,3.27452,0,1.33364
0.653,3.27951,0,1.33217
0.654,3.28451,0,1.33068
0.655,3.2895,0,1.32919
0.656,3.29449,0,1.32769
0.657,3.29948,0,1.32618
0.658,3.30447,0,1.32466
0.659,3.30946,0,1.32313
0.66,3.31445,0,1.32158
0.661,3.31944,0,1.32003
0.662,3.32443,0,1.31847
0.663,3.32942,0,1.3169
0.664,3.33441,0,1.31532
0.665,3.3394,0,1.31373
0.666,3.34439,0,1.31213
0.667,3.34938,0,1.31052
0.668,3.35437,0,1.3089
0.669,3.35936,0,1.30727
0.67,3.36435,0,1.30563
0.671,3.36934,0,1.30398
0.672,3.37433,0,1.30232
0.673,3.37932,0,1.30065
0.674,3.38431,0,1.29898
0.675,3.3893,0,1.29729
0.676,3.39429,0,1.29559
0.677,3.39927,0,1.29388
0.678,3.40426,0,1.29216
0.679,3.40925,0,1.29043
0.68,3.41424,0,1.2887
0.681,3.41923,0,1.28695
0.682,3.42422,0,1.28519
0.683,3.4292,0,1.28342
0.684,3.43419,0,1.28165
0.685,3.43918,0,1.27986
0.686,3.44417,0,1.27806
0.687,3.44916,0,1.27626
0.688,3.45414,0,1.27444
0.689,3.45913,0,1.27261
0.69,3.46412,0,1.27078
0.691,3.46911,0,1.26893
0.692,3.47409,0,1.26708
0.693,3.47908,0,1.26521
0.694,3.48407,0,1.26333
0.695,3.48905,0,1.26145
0.696,3.49404,0,1.25955
